g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.100,2,0.8,0.1,0.10,0.980,0.012,1.002,0.048,1.56,0.93
0.010,0.010,2,0.8,0.1,1.00,1.006,0.018,1.017,0.067,1.44,0.93
0.100,0.010,1,0.8,0.1,1.00,1.001,0.018,1.018,0.070,1.70,0.94
0.010,0.010,1,0.8,0.1,1.00,1.009,0.018,1.022,0.069,1.47,0.92
0.010,0.100,2,0.6,0.1,0.10,1.025,0.011,1.041,0.046,1.56,0.93
0.010,0.100,3,0.6,0.1,0.10,1.030,0.012,1.047,0.046,2.23,0.93
0.100,0.010,1,0.8,0.1,0.10,1.070,0.017,1.083,0.071,1.60,0.93
0.100,0.010,2,0.4,0.1,0.10,1.075,0.012,1.091,0.060,1.65,0.93
0.100,0.010,1,0.6,0.1,0.10,1.080,0.016,1.092,0.072,1.55,0.93
0.010,0.010,3,0.8,0.1,1.00,1.090,0.019,1.099,0.068,2.62,0.94
0.100,0.010,2,0.6,0.1,0.10,1.086,0.013,1.105,0.061,1.56,0.94
0.100,0.010,1,0.4,0.1,0.10,1.097,0.018,1.108,0.071,1.54,0.94
0.100,0.010,3,0.8,0.1,1.00,1.038,0.017,1.108,0.082,2.32,0.93
0.100,0.100,3,0.8,0.1,0.10,1.080,0.017,1.111,0.075,2.20,0.94
0.100,0.010,2,0.2,0.1,0.10,1.113,0.014,1.128,0.063,1.49,0.94
0.100,0.010,2,0.8,0.1,0.10,1.131,0.013,1.152,0.067,1.59,0.94
0.100,0.010,1,0.2,0.1,0.10,1.147,0.019,1.157,0.070,1.54,0.95
0.010,0.100,1,0.8,0.1,0.10,1.150,0.014,1.165,0.057,1.57,0.94
0.100,0.010,3,0.2,0.1,0.10,1.317,0.022,1.336,0.069,2.17,0.96
0.100,0.010,3,0.4,0.1,0.10,1.348,0.022,1.373,0.073,2.22,0.96
0.010,0.100,2,0.8,0.1,0.10,1.381,0.017,1.397,0.050,1.40,0.94
0.100,0.010,3,0.6,0.1,0.10,1.394,0.023,1.423,0.076,2.20,0.96
0.010,0.100,3,0.8,0.1,0.10,1.409,0.014,1.424,0.052,2.21,0.94
0.010,0.010,1,0.2,0.1,0.10,1.430,0.020,1.441,0.053,1.57,0.96
0.100,0.010,3,0.8,0.1,0.10,1.439,0.024,1.473,0.080,2.16,0.96
0.010,0.010,2,0.2,0.1,0.10,1.502,0.019,1.513,0.052,1.55,0.97
0.010,0.010,1,0.4,0.1,0.10,1.509,0.022,1.521,0.050,1.55,0.97
0.010,0.010,3,0.2,0.1,0.10,1.514,0.018,1.527,0.053,2.32,0.97
0.010,0.010,1,0.6,0.1,0.10,1.603,0.020,1.617,0.049,1.53,0.97
0.010,0.010,2,0.4,0.1,0.10,1.702,0.020,1.717,0.044,1.67,0.97
0.010,0.010,1,0.8,0.1,0.10,1.706,0.020,1.720,0.045,1.65,0.97
0.010,0.010,3,0.4,0.1,0.10,1.731,0.020,1.746,0.044,2.25,0.97
0.010,0.010,2,0.6,0.1,0.10,1.950,0.015,1.963,0.043,1.69,0.98
0.010,0.010,3,0.6,0.1,0.10,1.994,0.015,2.008,0.042,2.24,0.98
0.010,0.010,2,0.8,0.1,0.10,2.234,0.011,2.244,0.042,1.52,0.98
0.010,0.010,3,0.8,0.1,0.10,2.296,0.010,2.307,0.041,2.37,0.97
