g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
1.000,0.500,3,0.0,0.1,1.00,0.769,0.012,0.795,0.060,2.25,0.91
1.000,0.500,4,0.0,0.1,1.00,0.769,0.012,0.795,0.060,2.27,0.91
1.000,0.500,2,0.4,0.1,1.00,0.768,0.012,0.796,0.056,1.71,0.90
1.000,0.500,3,0.4,0.1,1.00,0.765,0.011,0.797,0.065,2.11,0.91
1.000,0.100,3,0.4,0.1,10.00,0.737,0.012,0.798,0.057,2.46,0.91
1.000,0.500,4,0.2,0.1,1.00,0.769,0.011,0.798,0.059,2.24,0.92
1.000,0.100,3,0.2,0.1,10.00,0.750,0.012,0.800,0.060,2.39,0.92
0.500,0.500,2,0.2,0.1,1.00,0.775,0.012,0.801,0.059,1.76,0.91
1.000,1.000,4,0.8,0.1,1.00,0.765,0.012,0.802,0.052,2.19,0.91
0.500,0.500,3,0.2,0.1,1.00,0.777,0.012,0.802,0.062,2.21,0.91
0.500,1.000,4,0.8,0.1,1.00,0.781,0.010,0.803,0.058,2.29,0.91
0.500,0.500,4,0.2,0.1,1.00,0.779,0.012,0.804,0.061,2.15,0.92
1.000,0.500,2,0.6,0.1,1.00,0.777,0.013,0.805,0.056,1.73,0.91
0.500,0.500,2,0.4,0.1,1.00,0.781,0.012,0.805,0.059,1.72,0.91
0.100,0.500,2,0.2,0.1,1.00,0.780,0.012,0.805,0.061,1.65,0.92
0.100,1.000,1,0.8,0.1,1.00,0.783,0.012,0.805,0.063,1.72,0.92
0.100,0.500,3,0.2,0.1,1.00,0.780,0.012,0.805,0.061,2.13,0.92
0.100,0.500,4,0.2,0.1,1.00,0.780,0.012,0.805,0.061,2.36,0.92
0.100,1.000,2,0.8,0.1,1.00,0.784,0.012,0.806,0.057,1.73,0.91
0.100,0.500,1,0.2,0.1,1.00,0.780,0.012,0.806,0.062,1.61,0.92
0.500,0.500,1,0.2,0.1,1.00,0.782,0.012,0.807,0.062,1.65,0.92
0.100,1.000,3,0.8,0.1,1.00,0.786,0.012,0.808,0.058,2.15,0.91
0.100,1.000,4,0.8,0.1,1.00,0.786,0.012,0.808,0.058,2.13,0.91
1.000,0.500,4,0.4,0.1,1.00,0.776,0.012,0.808,0.058,2.25,0.92
1.000,0.500,1,0.2,0.1,1.00,0.783,0.013,0.809,0.063,1.68,0.91
0.500,0.500,3,0.4,0.1,1.00,0.787,0.013,0.811,0.063,2.18,0.92
1.000,0.100,2,0.2,0.1,10.00,0.770,0.014,0.812,0.061,1.84,0.91
0.500,1.000,1,0.8,0.1,1.00,0.791,0.013,0.813,0.064,1.63,0.92
1.000,0.100,2,0.4,0.1,10.00,0.763,0.014,0.813,0.061,1.87,0.91
0.500,0.500,2,0.6,0.1,1.00,0.793,0.012,0.814,0.060,1.64,0.91
1.000,0.500,3,0.6,0.1,1.00,0.782,0.011,0.816,0.069,2.24,0.91
