g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.100,2,0.7,0.1,1.00,0.865,0.014,0.933,0.060,3.06,0.93
0.010,0.010,5,0.7,0.1,100.00,0.883,0.013,0.933,0.059,2.72,0.92
0.100,0.010,3,0.6,0.1,100.00,0.700,0.006,0.934,0.032,30.09,0.93
0.010,0.100,1,0.8,0.1,1.00,0.898,0.009,0.934,0.045,2.20,0.93
0.100,0.100,4,0.3,0.1,100.00,0.456,0.013,0.935,0.040,25.02,0.92
0.100,0.010,3,0.7,0.1,100.00,0.701,0.006,0.935,0.030,31.80,0.92
0.010,0.010,2,0.7,0.1,100.00,0.876,0.013,0.938,0.060,2.14,0.93
0.100,0.100,4,0.7,0.1,1.00,0.826,0.012,0.939,0.063,4.22,0.92
0.100,0.010,4,0.3,0.1,100.00,0.631,0.015,0.940,0.038,18.82,0.93
0.100,0.010,5,0.4,0.1,10.00,0.714,0.009,0.940,0.070,5.65,0.92
0.100,0.100,4,0.4,0.1,100.00,0.457,0.013,0.940,0.039,24.58,0.93
0.100,0.010,3,0.8,0.1,100.00,0.705,0.006,0.940,0.027,40.05,0.92
0.100,0.010,2,0.2,0.1,100.00,0.830,0.011,0.941,0.056,7.48,0.92
0.100,0.100,5,0.1,0.1,100.00,0.438,0.012,0.942,0.042,19.07,0.92
0.100,0.010,3,0.5,0.1,10.00,0.813,0.010,0.943,0.054,4.68,0.93
0.100,0.100,4,0.8,0.1,100.00,0.484,0.014,0.943,0.040,38.21,0.93
0.010,0.010,4,0.8,0.1,100.00,0.898,0.013,0.943,0.061,2.57,0.92
0.100,0.100,4,0.5,0.1,100.00,0.460,0.013,0.943,0.038,30.63,0.93
0.100,0.100,4,0.7,0.1,100.00,0.473,0.013,0.943,0.038,39.12,0.92
