,units,layers,learning_rate,activation_function,lambda_reg,mean_val_loss,std_val_loss
316,4,5,0.1,leakyrelu,0.0001,1.637926959991455,0.12438570199550571
317,4,5,0.0001,relu,0.0,2.9775466442108156,2.5066772091908804
318,4,5,0.1,leakyrelu,0.001,1.514867639541626,0.10387711443274689
319,1,5,0.1,elu,0.001,5.705692100524902,1.970155620974272
320,4,1,0.001,leakyrelu,1e-05,1.404371166229248,0.06050097462131345
321,4,5,0.1,leakyrelu,0.005,1.810346746444702,0.13647494094666343
322,4,2,0.001,relu,1e-05,1.3983590841293334,0.07204281096536141
323,4,4,0.0001,relu,0.0001,2.9231568574905396,2.3790540829908395
324,4,3,0.0001,relu,1e-05,1.3588095426559448,0.08527086450004104
325,16,1,0.01,leakyrelu,0.0,1.2819936275482178,0.0724593557079691
326,4,5,0.1,leakyrelu,0.01,1.8728323936462403,0.09850708112688006
327,1,2,0.0001,relu,1e-05,7.153631258010864,2.109498969410102
328,1,3,0.001,relu,0.0,5.434301233291626,2.004797932586423
329,16,1,0.01,leakyrelu,1e-05,1.2802215337753295,0.1036154591279968
330,1,2,0.001,leakyrelu,0.0001,3.003481388092041,0.07163634978993158
331,1,5,0.0001,relu,1e-05,8.1137113571167,0.3144026269321837
332,4,2,0.0001,relu,1e-05,1.407548999786377,0.07309834980550829
333,4,2,0.001,relu,0.0001,1.4286603212356568,0.14054171336663354
334,16,1,0.01,leakyrelu,0.0001,1.2858699798583983,0.04190980631382808
335,4,1,0.001,leakyrelu,0.0001,1.553478717803955,0.15095602584648765
336,16,1,0.01,leakyrelu,0.001,1.3063320636749267,0.06673829403390119
337,4,5,0.001,elu,0.01,1.5077394008636475,0.07476802432199098
338,16,1,0.01,leakyrelu,0.005,1.494700026512146,0.08511663083459403
339,1,3,0.001,relu,1e-05,6.385152101516724,1.7259172214740301
340,16,1,0.01,leakyrelu,0.01,1.6221423625946045,0.09100825364278227
341,1,2,0.001,leakyrelu,0.001,3.0253095626831055,0.0767995739888444
342,4,2,0.001,relu,0.001,1.4010719060897827,0.08108874988120816
343,16,1,0.1,relu,0.0,1.367132568359375,0.056985962805379035
344,16,1,0.1,relu,1e-05,1.3795110702514648,0.10117004985909679
345,16,1,0.1,relu,0.0001,1.4968332529067994,0.18094495942615435
346,4,5,0.001,leakyrelu,0.0,1.3376636981964112,0.06527357870487938
347,16,1,0.1,relu,0.001,1.4309190034866333,0.06562227904771256
348,16,1,0.1,relu,0.005,1.5655904531478881,0.12493384784879018
349,1,3,0.0001,relu,1e-05,8.11377239227295,0.31504153295269055
350,4,2,0.001,relu,0.005,1.5317036628723144,0.14492786566881122
351,16,1,0.1,relu,0.01,1.6328577518463134,0.08168513303283781
352,4,1,0.001,leakyrelu,0.001,1.4408439874649048,0.05827306267534274
353,4,3,0.0001,elu,0.005,1.4812832832336427,0.1093944253261586
354,16,1,0.1,elu,0.0,1.4066077709197997,0.08051754675727724
355,1,3,0.001,relu,0.0001,6.295840835571289,1.6194067337876994
356,16,1,0.1,elu,1e-05,1.4740312814712524,0.11372290086916592
357,16,1,0.1,elu,0.0001,1.4636266469955443,0.1474662981227373
358,4,5,0.001,leakyrelu,1e-05,1.3546635866165162,0.10183650394184639
359,16,1,0.1,elu,0.001,1.4553593397140503,0.04541954605613829
