,units,layers,learning_rate,activation_function,lambda_reg,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
2168,32,3,0.0001,relu,0.0001,0.9980158805847168,0.01607643786662166,1.220293641090393,0.0744540283789355
2169,32,5,0.0001,elu,0.5,7.326025104522705,0.034690041507563454,7.335735893249511,0.1253189732056213
2170,128,5,0.001,leakyrelu,0.0,0.7418402791023254,0.08382167569540558,1.2372186660766602,0.037984986591005555
2171,32,5,0.0001,elu,0.01,1.5014295816421508,0.02852635280376032,1.5904521703720094,0.0780743466970539
2172,16,3,0.0001,leakyrelu,0.1,2.8942967891693114,0.030981855025378906,2.918295431137085,0.09428265664928212
2173,64,4,0.0001,relu,0.01,1.3495290279388428,0.02189369151065322,1.5741470098495483,0.05388536620489117
2174,128,5,0.001,relu,0.1,2.9257896900177003,0.04570073823328589,2.9853938579559327,0.144789193168863
2175,64,3,0.0001,relu,0.0001,0.8678517937660217,0.02575751335307374,1.2153385162353516,0.05132637479868135
2176,64,4,0.0001,elu,0.5,6.8586146354675295,0.027703241352631074,6.877048015594482,0.1370834535858649
2177,16,2,0.0001,leakyrelu,0.0001,1.2307308197021485,0.034284340043679806,1.3251854181289673,0.07079371263847176
2178,64,5,0.0001,leakyrelu,0.001,1.1011261940002441,0.07076968857166374,1.427766537666321,0.080657473995696
2179,64,5,0.0001,elu,1e-05,1.0414238691329956,0.04439586510112041,1.162424921989441,0.04691178936810926
2180,128,5,0.0001,elu,0.001,1.3044281244277953,0.06306060973700207,1.4989651441574097,0.05841925980563907
2181,16,4,0.0001,leakyrelu,0.001,1.175709867477417,0.04808570486985973,1.2988518238067628,0.04531240416385771
2182,4,4,0.0001,leakyrelu,0.0001,1.30019371509552,0.027447784138697674,1.3430466413497926,0.10953868995499791
2183,4,2,0.0001,leakyrelu,1e-05,1.3537069797515868,0.044749530154329295,1.4012714862823485,0.0835970269610109
2184,128,5,0.0001,relu,0.0001,0.7415388822555542,0.04722318770286154,1.2788524150848388,0.06919711796974741
2185,64,4,0.0001,elu,0.01,1.497752046585083,0.047595840084033024,1.568599486351013,0.0608968552381774
2186,16,3,0.0001,relu,0.0001,1.088335967063904,0.030323352078428144,1.2341855764389038,0.06414712725028839
2187,128,3,0.0001,leakyrelu,0.0001,0.9762715458869934,0.03906584697709538,1.2304269552230835,0.05505659460520217
2188,32,2,0.0001,elu,1e-05,1.0670341491699218,0.04118029165535302,1.1836197137832642,0.043522745402079344
2189,128,3,0.0001,elu,0.1,2.9031060218811033,0.041335331435462086,2.9293251037597656,0.08837941529774741
2190,128,5,0.0001,relu,0.5,7.337403774261475,0.03630770975327069,7.344075775146484,0.11162781682915861
2191,16,5,0.0001,relu,0.01,1.4042782545089723,0.04185905782027087,1.5460853815078734,0.07011319724712999
2192,128,2,0.0001,elu,0.1,2.7931607246398924,0.03400069455864092,2.8169092655181887,0.09721230515094907
2193,4,2,0.0001,elu,0.0,1.290387511253357,0.035187580762686944,1.3343451499938965,0.09075314689721474
2194,128,1,0.0001,leakyrelu,0.01,1.558214783668518,0.024034650452333238,1.612912130355835,0.08625007655781006
2195,4,4,0.0001,relu,1e-05,1.3311567306518555,0.11200121104795889,1.3842319250106812,0.19666925887033868
2196,128,5,0.001,leakyrelu,0.5,7.305228424072266,0.042035867948605476,7.294846630096435,0.08537487157746729
2197,32,3,0.0001,elu,0.01,1.4800189971923827,0.043485157298690805,1.547956609725952,0.05983976379315313
2198,128,2,0.0001,leakyrelu,0.0001,1.0564989805221559,0.06076377685084699,1.2384729862213135,0.05771962142364779
2199,64,5,0.0001,elu,0.01,1.51802716255188,0.03946885254958391,1.5954744338989257,0.08216795954396963
2200,32,2,0.0001,elu,0.001,1.1829237699508668,0.03677035724699244,1.2743898391723634,0.06696557105160042
2201,32,5,0.0001,leakyrelu,0.1,3.2214666843414306,0.021985202057697883,3.249703359603882,0.11101833040581245
2202,64,5,0.0001,elu,0.5,7.33571491241455,0.04293686525659073,7.3423004150390625,0.1073949149692405
2203,128,3,0.0001,elu,0.0,1.051385772228241,0.04399391697029342,1.1698686599731445,0.05326439024908309
2204,32,4,0.0001,leakyrelu,0.1,3.0562023639678957,0.030817688711293114,3.0808928966522218,0.09763835192330265
2205,128,5,0.0001,elu,0.1,3.249085235595703,0.028893534220560246,3.263269805908203,0.10019120068945883
2206,128,5,0.0001,leakyrelu,0.01,1.4008632898330688,0.028568344695062094,1.6615646123886108,0.059830267801626126
2207,64,5,0.0001,relu,0.01,1.3238598108291626,0.02291655491663412,1.6223168611526488,0.04583541228987126
2208,128,3,0.0001,relu,0.0001,0.8641218304634094,0.033427472605637304,1.2427951574325562,0.06808283689361656
2209,64,3,0.0001,elu,0.5,6.399987602233887,0.031528017047983616,6.414633464813233,0.1337332942491496
2210,128,4,0.0001,relu,0.0001,0.7759474635124206,0.06091741150461377,1.2641544342041016,0.05965985649640023
2211,128,1,0.0001,leakyrelu,1e-05,1.0667313814163208,0.026202094432824997,1.1977691411972047,0.0657244510684038
2212,128,4,0.0001,elu,0.0,1.0331262946128845,0.03198295837788667,1.1653117895126344,0.05730774633300577
2213,4,3,0.0001,relu,0.01,1.5804453134536742,0.10741725560482583,1.6184280633926391,0.12438595313862962
2214,4,2,0.0001,relu,1e-05,1.3497431039810182,0.03709430427972634,1.3992886543273926,0.07092430614981651
2215,128,3,0.0001,relu,0.01,1.3457775831222534,0.033729691941244304,1.532424759864807,0.06365653736570617
2216,64,4,0.0001,leakyrelu,0.1,3.056094789505005,0.0337436531277383,3.084181070327759,0.1030601962991814
2217,64,2,0.0001,elu,0.5,5.957417678833008,0.03146181662682946,5.9728875160217285,0.13043854462331506
2218,16,4,0.0001,elu,0.01,1.4655702352523803,0.03427268080067694,1.5513330459594727,0.06612491578702269
2219,4,1,0.0001,relu,0.0,1.4440202713012695,0.08112583908796815,1.5095945835113525,0.11391714133136886
2220,4,3,0.0001,leakyrelu,0.0001,1.368725562095642,0.11426860448871762,1.4358338356018066,0.14725430288097685
2221,32,5,0.0001,elu,1e-05,1.0397445678710937,0.02407363189536031,1.1582032203674317,0.06150197770817017
2222,64,2,0.0001,relu,0.01,1.4000757694244386,0.024475493215177068,1.5214754581451415,0.06524520623312148
2223,64,2,0.0001,leakyrelu,0.1,2.781934070587158,0.03082182374897143,2.799883556365967,0.09758848471756007
2224,16,2,0.0001,elu,0.5,5.928096103668213,0.030156864938148554,5.941842460632325,0.12216447240662998
2225,128,5,0.0001,relu,0.01,1.3207241296768188,0.022289139281359126,1.7473682165145874,0.041448371150426225
2226,64,4,0.0001,elu,1e-05,1.032598853111267,0.0430440107908163,1.1534669399261475,0.04872891618833743
2227,64,1,0.0001,elu,0.0001,1.14999520778656,0.04566909348009164,1.2338946342468262,0.07096534793344526
2228,64,3,0.0001,elu,0.01,1.477832841873169,0.020055911968548217,1.5486326456069945,0.07655035784330011
2229,16,3,0.0001,leakyrelu,0.001,1.225596308708191,0.04126352823222552,1.3298664569854737,0.07677172521183386
2230,128,4,0.0001,elu,0.5,6.87257137298584,0.04360926215927157,6.882576370239258,0.11721230844670458
2231,64,3,0.0001,leakyrelu,0.1,2.892503786087036,0.02719789419024897,2.9168547630310058,0.1020927184696763
2232,16,5,0.0001,elu,0.5,7.3057324409484865,0.037268279740434465,7.319364070892334,0.11642014810287812
2233,32,2,0.0001,relu,0.0001,1.034717607498169,0.021447367614205733,1.2129384756088257,0.07033569647934419
2234,64,2,0.0001,relu,0.0001,0.9532465219497681,0.03737064075566286,1.2160212039947509,0.05140093807342395
2235,16,5,0.0001,leakyrelu,0.001,1.1638245105743408,0.0401176326252561,1.3131351947784424,0.05077493893565319
2236,16,4,0.0001,elu,1e-05,1.0590643763542176,0.063583911873431,1.1438073873519898,0.04732264026264066
2237,16,4,0.0001,leakyrelu,0.0,1.1352354764938355,0.04330066256532938,1.2404088973999023,0.05470168807424666
2238,64,3,0.0001,leakyrelu,0.001,1.1331313610076905,0.03934057692654565,1.3415886878967285,0.06605050021581375
2239,128,1,0.0001,elu,0.0001,1.1663399934768677,0.03670182641316395,1.239753818511963,0.06807738723229313
2240,64,3,0.0001,elu,1e-05,1.0480568170547486,0.044491530445770346,1.168377947807312,0.04525383895881048
2241,32,3,0.0001,leakyrelu,0.0,1.1079062938690185,0.034936618796080524,1.2541692495346068,0.11009932675911738
2242,128,5,0.0001,elu,0.0,0.9789286613464355,0.08503209056451264,1.1241080999374389,0.04027502499594369
2243,64,5,0.0001,leakyrelu,0.1,3.2140053272247315,0.02726717604425398,3.242448902130127,0.10913739597014868
2244,128,5,0.0001,leakyrelu,0.001,1.1450339317321778,0.11370421459270304,1.5644285678863525,0.061514311333350016
2245,128,4,0.0001,leakyrelu,0.001,1.1075802326202393,0.04560684809061476,1.5025870323181152,0.05736859172012101
2246,128,4,0.0001,relu,0.01,1.3317183017730714,0.030227433149207446,1.6173603296279908,0.056593638325251286
2247,128,3,0.0001,leakyrelu,0.1,2.9041231155395506,0.03343191199661104,2.9322072982788088,0.09548546712958748
2248,128,1,0.0001,elu,0.1,2.743121099472046,0.040685893762907224,2.7608806610107424,0.0939085665149986
2249,128,2,0.0001,elu,0.001,1.2137795686721802,0.039516816550771064,1.3128259181976318,0.05346695043865576
2250,32,2,0.0001,relu,0.01,1.4115200996398927,0.029950726812708255,1.5180542469024658,0.065736043337948
2251,64,4,0.0001,leakyrelu,0.0,0.9639498710632324,0.03673886895388994,1.2042019844055176,0.049331799617070814
2252,32,2,0.0001,leakyrelu,0.1,2.7839438915252686,0.03195354303922966,2.8041477680206297,0.09512669135625876
2253,128,2,0.0001,elu,1e-05,1.075826144218445,0.033001135783767725,1.1773218393325806,0.05407462916405646
2254,4,2,0.0001,relu,0.01,1.608012318611145,0.11938730871702104,1.668929433822632,0.163318595794375
2255,16,1,0.0001,relu,1e-05,1.2209789752960205,0.038537307581762326,1.3043203830718995,0.054741589551673145
2256,64,2,0.0001,elu,0.0,1.0651747584342957,0.04864853082997251,1.1683904647827148,0.04962496581531436
2257,128,4,0.0001,elu,1e-05,1.047850751876831,0.020251412316443087,1.1692822456359864,0.058359218978236746
2258,32,1,0.0001,relu,0.01,1.4978867530822755,0.02138117483799613,1.5585856676101684,0.0918218075375128
2259,128,2,0.0001,relu,0.0001,0.8996954679489135,0.049496255884906956,1.2103910207748414,0.056281349847354806
2260,32,1,0.0001,elu,0.5,5.561237239837647,0.029125800082192364,5.576339626312256,0.13534604347465937
